ID,CC1,CC2,CC3,CC4,CC5,Exp1.CC1,Exp1.CC2,Exp1.CC3,X1_Exp1.Test.Jump,X2_Exp1.Test.Jump,X3_Exp1.Test.Jump,X4_Exp1.Test.Jump,X5_Exp1.Test.Jump,X6_Exp1.Test.Jump,X7_Exp1.Test.Jump,X1_Exp1.Test.Fall,X2_Exp1.Test.Fall,X3_Exp1.Test.Fall,X4_Exp1.Test.Fall,X5_Exp1.Test.Fall,X6_Exp1.Test.Fall,X7_Exp1.Test.Fall,Exp2.CC1,Exp2.CC2,Exp2.CC3,X1_Exp2.Test,X2_Exp2.Test,X3_Exp2.Test,X4_Exp2.Test,X5_Exp2.Test,X6_Exp2.Test,X7_Exp2.Test,Exp3.CC1,Exp3.CC2,Exp3.CC3,X1_Exp3.Test,X2_Exp3.Test,X3_Exp3.Test,X4_Exp3.Test,X5_Exp3.Test,Exp4.CC1,Exp4.CC2,Exp4.CC3,X1_Exp4.Test,X2_Exp4.Test,X3_Exp4.Test,X4_Exp4.Test,X5_Exp4.Test,X6_Exp4.Test,X7_Exp4.Test,Age_Months,Age_Years,Sex,Order_Exps,Version,Order_Task1,Order_Task2,Order_Task3,Order_Task4
1,deeper,deeper,deeper,No!,No!,67,51,0,100,70,51,53,29,42,27,51,51,36,36,0,20,0,33,100,51,66,68,69,51,29,35,36,0,70,51,100,100,100,100,100,100,21,51,0,37,37,36,51,51,100,84.87096774,7,Male,3,B,2,3,1,4
2,deeper,deeper,deeper,No!,No!,29,51,100,31,45,70,92,62,100,86,39,44,100,98,86,100,100,35,100,51,0,0,41,51,57,59,56,30,51,100,57,61,58,56,56,100,18,51,100,75,39,51,26,28,0,86.80645161,7,Female,1,A,1,2,3,4
3,deeper,deeper,deeper,No!,No!,73,51,7,50,70,27,51,0,23,28,29,0,0,0,0,0,0,31,100,51,69,81,69,38,51,51,0,0,70,50,51,69,100,70,51,100,28,50,0,0,5,63,70,72,88,74.51612903,6,Male,3,B,2,3,1,4
4,deeper,deeper,deeper,No!,No!,30,53,100,28,32,51,51,64,41,82,51,82,100,74,70,83,100,30,99,51,0,0,3,53,100,100,100,34,52,100,61,53,48,87,81,100,24,49,52,51,59,51,69,100,100,75.19354839,6,Male,1,A,1,2,3,4
5,deeper,deeper,deeper,No!,No!,35,51,100,1,51,26,33,51,33,72,0,59,17,74,100,52,100,24,100,51,100,51,75,16,0,82,99,24,55,100,32,71,66,51,34,100,29,50,100,100,100,100,100,100,100,75.70967742,6,Female,1,A,1,2,3,4
6,deeper,deeper,deeper,No!,No!,38,51,100,41,33,51,73,71,100,51,52,70,74,100,100,100,73,31,100,51,0,2,0,97,100,100,100,25,52,100,60,53,32,51,67,100,23,52,80,65,23,79,94,98,96,91.70967742,7,Female,1,A,1,2,3,4
7,deeper,deeper,deeper,No!,No!,30,52,100,6,0,7,3,3,9,0,98,92,94,94,100,93,100,30,100,50,0,0,0,100,100,98,100,39,48,100,8,95,92,28,93,100,25,53,100,100,100,100,100,100,100,75.06451613,6,Female,3,A,2,3,1,4
8,deeper,deeper,deeper,No!,No!,28,51,100,0,51,0,40,61,30,61,34,100,41,41,70,74,100,32,100,51,0,0,31,51,63,70,76,28,51,100,36,41,51,24,18,100,24,51,100,37,36,51,61,0,100,86,7,Female,2,A,3,1,2,4
9,deeper,deeper,deeper,No!,No!,69,51,0,100,100,100,100,71,0,28,28,28,28,31,27,0,0,36,100,51,100,67,63,59,30,100,0,0,67,51,99,74,100,71,100,100,8,51,0,8,10,36,82,67,100,80.81423804,6,Male,2,B,3,1,2,4
10,deeper,deeper,deeper,No!,No!,60,50,0,100,72,51,72,100,71,51,0,29,1,28,28,51,0,39,94,51,98,100,72,51,31,33,30,0,67,51,47,51,28,28,33,100,18,51,22,49,0,1,51,97,98,89.10344828,7,Female,2,B,3,1,2,4
11,deeper,deeper,deeper,No!,No!,40,50,100,40,32,62,64,70,82,70,100,65,100,88,100,100,100,38,100,49,0,0,0,50,100,100,100,39,51,100,51,50,50,50,51,100,24,51,100,41,51,50,29,30,49,87.10344828,7,Female,2,A,3,1,2,4
